id,title,url,グー,チョキ,パー
Nw4TZ8dGU6A,【要チェック】学長がお届け！「お金の講義」2026年3月総集編,https://www.youtube.com/watch?v=Nw4TZ8dGU6A,0,0,0
ZgauGsxva7g,"[Money Lesson, 71st Period] ""30 Questions and Answers for the President! Part 4 (Protecting Yours...",https://www.youtube.com/watch?v=ZgauGsxva7g,0,0,1
YJbN6FLv8LE,"[Rerun] [It Makes Money] 5 Benefits of Maintaining and Strengthening Your ""Health Assets"" [Life P...",https://www.youtube.com/watch?v=YJbN6FLv8LE,0,0,0
FYiWT9UAgkI,"This article, featuring real-life examples, explains why you can lose all your wealth in an insta...",https://www.youtube.com/watch?v=FYiWT9UAgkI,0,0,0
sAPljPJ4UZs,[Warning] Earning power cannot be bought with money! Reasons why expensive schools don't help you...,https://www.youtube.com/watch?v=sAPljPJ4UZs,0,0,0
q0xxSGf9eCU,How much is the full amount of the national pension? Simple ways to enjoy a comfortable retiremen...,https://www.youtube.com/watch?v=q0xxSGf9eCU,0,0,7
9_kVnoGVo38,[Nasdaq -11%] What to do amidst the slump in US stocks? Important considerations for wealth build...,https://www.youtube.com/watch?v=9_kVnoGVo38,0,0,0
IAc9F8UY00A,"Things I want to tell you, students and those in their 20s [Life Philosophy]: (Animated Video) Ep...",https://www.youtube.com/watch?v=IAc9F8UY00A,0,0,0
s_5NM3c9hJc,【再放送】投資経験の浅い人が長期投資を継続できないたった１つの理由【株式投資編】：（アニメ動画）第431回,https://www.youtube.com/watch?v=s_5NM3c9hJc,0,0,0
oUIqxSeHHRk,"[Money Lesson, 70th Lesson] ""30 Questions and Answers for the President! Part 3 (Earning Power & ...",https://www.youtube.com/watch?v=oUIqxSeHHRk,0,0,0
GWJdaKh_O40,Episode 269: [Extremely Important] A Comprehensive Summary of Investment Topics for March Useful ...,https://www.youtube.com/watch?v=GWJdaKh_O40,0,0,1
5RgjnFTG0b0,"Tatsuro Kiyohara, with assets of 90 billion yen, has sold most of his Japanese stocks. What shoul...",https://www.youtube.com/watch?v=5RgjnFTG0b0,0,0,0
ZbGMSCsHjKI,Is it true that you shouldn't buy government bonds? Why inflation countermeasures should be consi...,https://www.youtube.com/watch?v=ZbGMSCsHjKI,0,0,0
Hb9w9KaGuUg,Episode 134: [Useful Information] Top 5 Money News Stories Selected by the University President f...,https://www.youtube.com/watch?v=Hb9w9KaGuUg,0,0,2
7yaldSHDyfw,How to Become Rich in Japan from a Tax Perspective [Money Education for Beginners]: (Animated Vid...,https://www.youtube.com/watch?v=7yaldSHDyfw,1,0,0
4Dc7uR5NbPw,[Rerun] Being good at receiving is advantageous in life [Life Philosophy]: (Animated Video) Episo...,https://www.youtube.com/watch?v=4Dc7uR5NbPw,0,0,0
eccPKyPuI_4,"[Money Lesson, 69th Lesson] ""30 Questions and Answers for the President! Part 2: The Power to Gro...",https://www.youtube.com/watch?v=eccPKyPuI_4,0,0,3
3a53FEvsLAw,"Even with a high income, you can't feel secure? What are the ""three divisions"" that the wealthy a...",https://www.youtube.com/watch?v=3a53FEvsLAw,0,0,0
IYwdVgothVY,Is it really true that you can easily make money with AI? An explanation of the correct way to th...,https://www.youtube.com/watch?v=IYwdVgothVY,0,0,0
yyEfABZd2Ls,[Good News] Orkan becomes Japan's most popular fund! We explain the benefits for investors [Offic...,https://www.youtube.com/watch?v=yyEfABZd2Ls,0,0,0
8nYFOjGA9aU,[Are you building wealth? Have you ever been scammed?] Wentz Eiji and the university president sp...,https://www.youtube.com/watch?v=8nYFOjGA9aU,0,0,1
AyEqx8BjZGs,[Rerun] What to do if your stocks plummet? [Stock Investment Edition]: (Animated Video) Episode 481,https://www.youtube.com/watch?v=AyEqx8BjZGs,0,0,0
EfqP_bEycZ4,[Useful for a Lifetime] The President's Lecture on Money: February 2026 Compilation,https://www.youtube.com/watch?v=EfqP_bEycZ4,0,0,8
NPobfOIXtRg,"[Rerun] [Putting Money in Jail] 3 Reasons Why Japan's 1,100 Trillion Yen in Savings is Such a Dis...",https://www.youtube.com/watch?v=NPobfOIXtRg,0,0,0
v1NWEZVsVNY,"[Money Lesson, 68th Lesson] ""30 Questions and Answers for the President! Part 1: The Power to Sav...",https://www.youtube.com/watch?v=v1NWEZVsVNY,0,0,0
rGqR0VyLoms,"[Libera University] Asset Appraisal Reality Show ""Love Balance Sheet"" [Relaxing Anime]",https://www.youtube.com/watch?v=rGqR0VyLoms,0,0,0
-pHzn4QxDLo,[This is the reality] An explanation of why America's wealth is concentrated among the senior gen...,https://www.youtube.com/watch?v=-pHzn4QxDLo,0,0,0
LDfbTFCOXOk,Can active funds outperform index funds? A thorough comparison using 15 years of long-term data [...,https://www.youtube.com/watch?v=LDfbTFCOXOk,0,0,1
qAvERU8tA7E,[Caution] Why people who repeatedly buy and sell are less likely to succeed in investing [Officia...,https://www.youtube.com/watch?v=qAvERU8tA7E,0,0,0
Es2tEzvaFB8,Will pension payments decrease? 3 reasons why you don't need to be overly pessimistic [Money Educ...,https://www.youtube.com/watch?v=Es2tEzvaFB8,0,0,2
Yr7P9uFX0LE,【再放送】少額からの資産運用は意味がないのか？意味ない派・意味ある派の3つの主張【株式投資編】：（アニメ動画）第402回,https://www.youtube.com/watch?v=Yr7P9uFX0LE,0,0,1
xpg7wFdqxrI,"[Money Lesson 67] ""This is the Optimal Solution! Conclusion List"" [Revised Edition Money Universi...",https://www.youtube.com/watch?v=xpg7wFdqxrI,0,0,0
Lg1Bc69e5rQ,[Rebroadcast] [Attracting Money and Happiness] The Difference Between Good and Bad Money Use [Goo...,https://www.youtube.com/watch?v=Lg1Bc69e5rQ,0,0,0
XVWrT1VHpSE,Is saving money the only way to lose? An explanation of how to stay ahead of inflation amidst uns...,https://www.youtube.com/watch?v=XVWrT1VHpSE,0,0,9
rDZCeNLzLsg,Bank of Japan ETFs exceed ¥100 trillion! Introducing the investment method that increased the amo...,https://www.youtube.com/watch?v=rDZCeNLzLsg,0,0,1
wYLIcygs88c,[Spend or Save?] How you spend your money determines your true happiness [Official Liber Universi...,https://www.youtube.com/watch?v=wYLIcygs88c,0,0,0
-hU_F-MPZho,"[New Fund] Is it worth investing in the ""Japanese Corporate Bond ETF"" that offers low-risk intere...",https://www.youtube.com/watch?v=-hU_F-MPZho,0,0,0
JMLaFl5CZks,[Rerun] What is an Employee Stock Ownership Plan? The big drawbacks that are often overlooked due...,https://www.youtube.com/watch?v=JMLaFl5CZks,0,0,0
mJrfc3FNUSU,"[Super Basics!] Who should you trust when it comes to investing? Introducing the ""Four Players"" [...",https://www.youtube.com/watch?v=mJrfc3FNUSU,0,0,0
UnQvdsjgeZ0,[Rebroadcast] [You'll be missing out if you don't know] How to reduce your taxes using medical ex...,https://www.youtube.com/watch?v=UnQvdsjgeZ0,0,0,0
YAbQ8BgYKOc,[Is it different for men and women?] Explaining the bias in information about money and the corre...,https://www.youtube.com/watch?v=YAbQ8BgYKOc,0,0,1
rm4iPyBbyTE,The National Tax Agency is using AI to make tax audits super-efficient! Introducing simple measur...,https://www.youtube.com/watch?v=rm4iPyBbyTE,0,0,0
csujvU8C2xA,No. 268 [Very Important] A Summary of February's Investment Topics Useful for Stock Investing [In...,https://www.youtube.com/watch?v=csujvU8C2xA,0,0,0
wdbOhAfRDRU,[10% Annual Interest Rate Really?!] The Dangerous Social Lending [Money Lessons for Beginners]: (...,https://www.youtube.com/watch?v=wdbOhAfRDRU,0,0,2
z9MEIF0FqgU,"No. 133 [Knowing Makes a Difference] Top 5 ""Best Deals"" and ""Trendy"" Money News Selected by the P...",https://www.youtube.com/watch?v=z9MEIF0FqgU,0,1,0
AZvA9gdEwI4,[Money Lesson 66] Are these poisonous mushrooms? A list of things to watch out for [Revised Editi...,https://www.youtube.com/watch?v=AZvA9gdEwI4,0,0,0
